sort,SUBJECT,SESSION,File,TIME_WINDOW,GENDER,PEAK,ELEC,COND_NUM,evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
4,4,1,sub-04mkkm_task-lexdec_run-001,2,2,2.341946,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,3.711101333333333,04mkkm,eeg001,lexdec,1,
4,4,1,sub-04mkkm_task-lexdec_run-001,2,2,2.537599,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,1.4325868333333334,04mkkm,eeg001,lexdec,1,
4,4,1,sub-04mkkm_task-lexdec_run-001,2,2,7.4564119999999985,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,6.6042545,04mkkm,eeg001,lexdec,1,
4,4,1,sub-04mkkm_task-lexdec_run-001,2,2,3.6864739999999996,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,4.453574166666667,04mkkm,eeg001,lexdec,1,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,3.8408510000000002,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,3.169233666666667,04mkkm,eeg001,lexdec,2,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,1.0947870000000002,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.234480166666667,04mkkm,eeg001,lexdec,2,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,0.8720690000000001,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,1.6215620000000002,04mkkm,eeg001,lexdec,2,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,0.698317,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,1.2380453333333334,04mkkm,eeg001,lexdec,2,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,5.1501800000000015,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.759650999999999,04mkkm,eeg001,lexdec,2,
5,4,2,sub-04mkkm_task-lexdec_run-002,2,2,5.789798,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,4.729544833333333,04mkkm,eeg001,lexdec,2,
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,3.3382199999999997,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.612874666666667,04mkkm,eeg001,lexdec,3,
