evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked0,word_set,all_in,LF,0.1,0.19,pos,LF,0.10666666666666665,0.16827049087136325,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,RF,0.1,0.19,pos,RF,0.10583333333333332,0.0928533827127293,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,LC,0.1,0.19,pos,LC,0.16166666666666665,1.2860215613538877,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,RC,0.1,0.19,pos,RC,0.155,1.2486327310484036,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,LP,0.1,0.19,pos,LP,0.14999999999999994,4.951916537278428,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,RP,0.1,0.19,pos,RP,0.14833333333333332,5.19257120408096,01mkxf,eeg001,lexdec,0,
evoked0,word_set,all_in,LF,0.1,0.19,pos,LF,0.1758333333333333,0.12457798713107637,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,RF,0.1,0.19,pos,RF,0.16166666666666665,-0.10032294095637535,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,LC,0.1,0.19,pos,LC,0.15166666666666664,1.0733448271310564,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,RC,0.1,0.19,pos,RC,0.18666666666666668,1.4215149060376897,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,LP,0.1,0.19,pos,LP,0.1275,3.881189518246316,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,RP,0.1,0.19,pos,RP,0.13166666666666668,2.8561315082796335,02ppxm,eeg001,lexdec,0,
evoked0,word_set,all_in,LF,0.1,0.19,pos,LF,0.1391666666666667,1.774693581924076,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,RF,0.1,0.19,pos,RF,0.1425,3.164023879901594,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,LC,0.1,0.19,pos,LC,0.16416666666666663,0.006091838718319716,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,RC,0.1,0.19,pos,RC,0.14083333333333334,2.123702653250609,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,LP,0.1,0.19,pos,LP,0.1225,2.762481191356248,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,RP,0.1,0.19,pos,RP,0.10916666666666665,2.492552985820269,03mjkf,eeg001,lexdec,0,
evoked0,word_set,all_in,LF,0.1,0.19,pos,LF,0.13083333333333333,0.044330207004001955,04mkkm,eeg001,lexdec,0,
evoked0,word_set,all_in,RF,0.1,0.19,pos,RF,0.10499999999999997,-0.6400342046571502,04mkkm,eeg001,lexdec,0,
