evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked2,word_set,all_in,LF,0.1,0.19,pos,LF,0.10499999999999997,0.15306741286973083,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,RF,0.1,0.19,pos,RF,0.10666666666666665,-0.10500608517587688,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,LC,0.1,0.19,pos,LC,0.16333333333333333,1.2104671636601956,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,RC,0.1,0.19,pos,RC,0.1558333333333333,1.054093710068004,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,LP,0.1,0.19,pos,LP,0.14916666666666664,4.785633859276328,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,RP,0.1,0.19,pos,RP,0.14666666666666667,5.085545051607439,01mkxf,eeg001,lexdec,0,
evoked2,word_set,all_in,LF,0.1,0.19,pos,LF,0.1758333333333333,0.16499277098208884,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,RF,0.1,0.19,pos,RF,0.16166666666666665,-0.1343260580466061,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,LC,0.1,0.19,pos,LC,0.15166666666666664,1.0780996394257085,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,RC,0.1,0.19,pos,RC,0.18583333333333332,1.4488911942903384,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,LP,0.1,0.19,pos,LP,0.1275,3.8175289011583673,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,RP,0.1,0.19,pos,RP,0.13166666666666668,2.87141952269702,02ppxm,eeg001,lexdec,0,
evoked2,word_set,all_in,LF,0.1,0.19,pos,LF,0.14083333333333334,1.710172413332329,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,RF,0.1,0.19,pos,RF,0.1425,2.9576228560091344,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,LC,0.1,0.19,pos,LC,0.15499999999999997,0.03141190318234608,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,RC,0.1,0.19,pos,RC,0.14666666666666664,2.091715807530882,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,LP,0.1,0.19,pos,LP,0.10833333333333332,1.9609234561472697,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,RP,0.1,0.19,pos,RP,0.10916666666666665,2.482988219781317,03mjkf,eeg001,lexdec,0,
evoked2,word_set,all_in,LF,0.1,0.19,pos,LF,0.13249999999999998,-0.10285263041138391,04mkkm,eeg001,lexdec,0,
evoked2,word_set,all_in,RF,0.1,0.19,pos,RF,0.10499999999999997,-0.5453832291891745,04mkkm,eeg001,lexdec,0,
