set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,03mjkf,0,,,2.8952801666666663
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,03mjkf,0,,,4.8268087500000005
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,03mjkf,0,,,1.6352577916666666
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,03mjkf,0,,,3.478698875
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,03mjkf,0,,,2.586295541666667
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,03mjkf,0,,,3.3697096666666666
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,04mkkm,0,,,1.95773375
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,04mkkm,0,,,1.5474584999999998
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,04mkkm,0,,,2.7628014583333336
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,04mkkm,0,,,2.4932956250000005
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,04mkkm,0,,,6.010222791666666
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,04mkkm,0,,,5.017167083333334
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,05jwxf,0,,,4.035964041666666
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,05jwxf,0,,,3.5285980416666667
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,05jwxf,0,,,3.6909670833333337
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,05jwxf,0,,,4.29894
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,05jwxf,0,,,4.218919125
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,05jwxf,0,,,6.238860458333334
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,06pppm,0,,,2.959400041666667
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,06pppm,0,,,2.1720519166666667
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,06pppm,0,,,5.005535000000001
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,06pppm,0,,,3.8088833749999993
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,06pppm,0,,,6.1493958750000015
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,06pppm,0,,,7.788345708333335
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,07zrxf,0,,,-0.2883905
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,07zrxf,0,,,-0.3936964583333333
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,07zrxf,0,,,1.2305142916666665
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,07zrxf,0,,,2.3890789583333336
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,07zrxf,0,,,4.959522541666666
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,07zrxf,0,,,5.871705125000001
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,08pnxm,0,,,1.4343822083333333
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,08pnxm,0,,,0.785911875
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,08pnxm,0,,,1.8606842916666668
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,08pnxm,0,,,0.9845880416666668
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,08pnxm,0,,,8.485894458333334
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,08pnxm,0,,,5.622248166666666
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,10mczf,0,,,2.612695458333333
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,10mczf,0,,,2.5944279999999997
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,10mczf,0,,,2.260038291666667
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,10mczf,0,,,2.974079458333333
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,10mczf,0,,,7.4273477916666675
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,10mczf,0,,,9.141346708333332
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,11kbxm,0,,,1.2371344583333337
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,11kbxm,0,,,0.8397054583333334
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,11kbxm,0,,,2.686768666666667
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,11kbxm,0,,,3.8351843333333338
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,11kbxm,0,,,8.532929000000001
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,11kbxm,0,,,11.237057833333333
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,12jnxf,0,,,-0.86088975
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,12jnxf,0,,,0.31087879166666665
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,12jnxf,0,,,0.5233679583333334
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,12jnxf,0,,,2.3790647083333334
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,12jnxf,0,,,4.530134125000001
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,12jnxf,0,,,3.2168632083333333
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,13jsxm,0,,,1.2132802500000002
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,13jsxm,0,,,2.102105958333333
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,13jsxm,0,,,2.9114325833333337
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,13jsxm,0,,,5.041466458333333
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,13jsxm,0,,,5.147843416666666
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,13jsxm,0,,,8.919224875
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,14ktxf,0,,,2.9687172916666666
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,14ktxf,0,,,1.8015134166666664
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,14ktxf,0,,,1.2602555833333335
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,14ktxf,0,,,1.827136375
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,14ktxf,0,,,6.036950625
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,14ktxf,0,,,6.039569541666666
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,16olxm,0,,,1.02609425
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,16olxm,0,,,0.16501837499999994
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,16olxm,0,,,1.703497458333333
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,16olxm,0,,,1.966904375
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,16olxm,0,,,7.610326833333333
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,16olxm,0,,,9.063671916666667
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,18skxm,0,,,-0.4137077499999999
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,18skxm,0,,,-0.17700270833333345
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,18skxm,0,,,0.10009450000000003
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,18skxm,0,,,1.7693014166666667
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,18skxm,0,,,6.1066494166666665
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,18skxm,0,,,10.420025
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,19jgxf,0,,,1.4822484166666667
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,19jgxf,0,,,1.380108916666667
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,19jgxf,0,,,1.2694433333333333
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,19jgxf,0,,,1.5348264999999999
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,19jgxf,0,,,2.848180708333333
Z1,evokedZ,word_set,noun_F,PR,R,P,0.1,bva,pos,bund1,19jgxf,0,,,2.6519741666666667
Z1,evokedZ,word_set,noun_F,FL,L,F,0.1,bva,pos,bund1,20jpxf,0,,,2.7737416666666665
Z1,evokedZ,word_set,noun_F,FR,R,F,0.1,bva,pos,bund1,20jpxf,0,,,1.815890791666667
Z1,evokedZ,word_set,noun_F,CL,L,C,0.1,bva,pos,bund1,20jpxf,0,,,4.330747625000001
Z1,evokedZ,word_set,noun_F,CR,R,C,0.1,bva,pos,bund1,20jpxf,0,,,4.077514625
Z1,evokedZ,word_set,noun_F,PL,L,P,0.1,bva,pos,bund1,20jpxf,0,,,6.12730625
