evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked4,word_set,all_in,RP,0.1,0.19,pos,RP,0.15333333333333335,4.794593292549636,07zrxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LF,0.1,0.19,pos,LF,0.18999999999999997,1.218374394974642,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,0.8566144781443531,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LC,0.1,0.19,pos,LC,0.15416666666666667,0.8604231235933718,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RC,0.1,0.19,pos,RC,0.16083333333333336,0.40586751716703423,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LP,0.1,0.19,pos,LP,0.1325,6.287059722092216,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RP,0.1,0.19,pos,RP,0.13583333333333333,4.620914931007266,08pnxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LF,0.1,0.19,pos,LF,0.17416666666666666,3.422785149402048,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,RF,0.1,0.19,pos,RF,0.17416666666666666,1.8594759306549307,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LC,0.1,0.19,pos,LC,0.14416666666666664,4.081483380415638,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,RC,0.1,0.19,pos,RC,0.1433333333333333,2.7009475738693585,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LP,0.1,0.19,pos,LP,0.13,5.5011044290789854,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,RP,0.1,0.19,pos,RP,0.1366666666666667,6.680636247497354,09msxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LF,0.1,0.19,pos,LF,0.1791666666666666,2.454786317802315,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,2.9088223347599356,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,LC,0.1,0.19,pos,LC,0.1758333333333333,1.6392849800236082,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,RC,0.1,0.19,pos,RC,0.1875,3.091366433963854,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,LP,0.1,0.19,pos,LP,0.1175,5.013741531011437,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,RP,0.1,0.19,pos,RP,0.1175,6.285876628569723,10mczf,eeg001,lexdec,0,
evoked4,word_set,all_in,LF,0.1,0.19,pos,LF,0.18916666666666668,-0.6154984062171979,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RF,0.1,0.19,pos,RF,0.1758333333333333,-0.9411953889600988,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LC,0.1,0.19,pos,LC,0.14666666666666667,0.2978603494639951,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RC,0.1,0.19,pos,RC,0.13749999999999998,0.8711643122754865,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LP,0.1,0.19,pos,LP,0.12583333333333332,5.953134823299423,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,RP,0.1,0.19,pos,RP,0.13083333333333333,8.224031344494938,11kbxm,eeg001,lexdec,0,
evoked4,word_set,all_in,LF,0.1,0.19,pos,LF,0.11166666666666665,-0.09858713930200642,12jnxf,eeg001,lexdec,0,
evoked4,word_set,all_in,RF,0.1,0.19,pos,RF,0.10749999999999998,0.36652367881217135,12jnxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LC,0.1,0.19,pos,LC,0.12333333333333334,0.5419610063625674,12jnxf,eeg001,lexdec,0,
evoked4,word_set,all_in,RC,0.1,0.19,pos,RC,0.11166666666666665,1.6482544540778739,12jnxf,eeg001,lexdec,0,
evoked4,word_set,all_in,LP,0.1,0.19,pos,LP,0.11416666666666665,2.508429538616166,12jnxf,eeg001,lexdec,0,
