evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked1,word_set,all_in,LF,0.1,0.19,pos,LF,0.10499999999999997,-0.06257065508656633,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,RF,0.1,0.19,pos,RF,0.10583333333333332,-0.4588729815801728,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,LC,0.1,0.19,pos,LC,0.16166666666666665,1.432746670021397,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,RC,0.1,0.19,pos,RC,0.1558333333333333,1.1690869389566192,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,LP,0.1,0.19,pos,LP,0.14916666666666664,5.114962785551101,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,RP,0.1,0.19,pos,RP,0.14666666666666667,5.3731943182251305,01mkxf,eeg001,lexdec,0,
evoked1,word_set,all_in,LF,0.1,0.19,pos,LF,0.1758333333333333,0.12457798713107637,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,RF,0.1,0.19,pos,RF,0.16166666666666665,-0.10032294095637535,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,LC,0.1,0.19,pos,LC,0.15166666666666664,1.0733448271310564,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,RC,0.1,0.19,pos,RC,0.18666666666666668,1.4215149060376897,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,LP,0.1,0.19,pos,LP,0.1275,3.881189518246316,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,RP,0.1,0.19,pos,RP,0.13166666666666668,2.8561315082796335,02ppxm,eeg001,lexdec,0,
evoked1,word_set,all_in,LF,0.1,0.19,pos,LF,0.1391666666666667,1.7696255474186693,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,RF,0.1,0.19,pos,RF,0.1425,3.141961391723848,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,LC,0.1,0.19,pos,LC,0.16416666666666663,0.028776813715667742,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,RC,0.1,0.19,pos,RC,0.14083333333333334,2.1296847975310174,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,LP,0.1,0.19,pos,LP,0.1225,2.6720245248301064,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,RP,0.1,0.19,pos,RP,0.10916666666666665,2.535441448624324,03mjkf,eeg001,lexdec,0,
evoked1,word_set,all_in,LF,0.1,0.19,pos,LF,0.13166666666666663,-0.07784345852940937,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,RF,0.1,0.19,pos,RF,0.10499999999999997,-0.31333767162723375,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,LC,0.1,0.19,pos,LC,0.1725,0.4669298376137023,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,RC,0.1,0.19,pos,RC,0.14583333333333334,-0.11488895646274706,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,LP,0.1,0.19,pos,LP,0.17,4.430256171232984,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,RP,0.1,0.19,pos,RP,0.13416666666666668,3.5657201581282685,04mkkm,eeg001,lexdec,0,
evoked1,word_set,all_in,LF,0.1,0.19,pos,LF,0.18166666666666664,1.8067589943994464,05jwxf,eeg001,lexdec,0,
