evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked0,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.16916666666666666,0.8286500024965099,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.14166666666666664,0.4369425859863611,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.17416666666666666,3.099784057800455,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.1733333333333333,2.990965174619998,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.1608333333333333,5.089198487377909,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.16666666666666663,5.617396212409599,01mkxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.18999999999999997,2.255432365606544,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,1.9747433141902875,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1825,2.6844511631837524,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.18833333333333335,3.557585357004943,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.15,3.91601539836793,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.16249999999999998,3.4544408418755483,02ppxm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.14,4.153955676038752,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.1416666666666667,5.536371345162904,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1366666666666667,1.4581820813306605,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.14,4.472366472129489,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.12333333333333334,2.344784411352359,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1416666666666667,2.1582973956268865,03mjkf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.18000000000000002,0.5484731190380061,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15749999999999997,-0.8774932412891089,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.17166666666666663,1.8021621476087581,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.16499999999999995,0.7802266573487936,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.16916666666666666,5.468297675375996,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.165,3.1349159252879866,04mkkm,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1583333333333333,1.6109720182741716,05jwxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.1483333333333333,1.5128721277834145,05jwxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1483333333333333,1.9476781791171323,05jwxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.14666666666666664,3.528520306496027,05jwxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.13333333333333333,2.881633498515781,05jwxf,eeg001,lexdec,0,
evoked0,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1391666666666667,5.510606467832981,05jwxf,eeg001,lexdec,0,
