set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,03mjkf,1,,,1.5124611666666663
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,03mjkf,1,,,1.3123415
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,03mjkf,1,,,2.475348
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,03mjkf,1,,,3.385939833333333
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,03mjkf,1,,,2.3993836666666666
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,03mjkf,1,,,5.696859
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,03mjkf,2,,,2.2687916666666665
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,03mjkf,2,,,3.256922166666667
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,03mjkf,2,,,1.8515775
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,03mjkf,2,,,3.7416315000000004
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,03mjkf,2,,,1.157112666666667
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,03mjkf,2,,,3.5238831666666663
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,03mjkf,3,,,1.9247186666666665
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,03mjkf,3,,,2.864652
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,03mjkf,3,,,2.6770340000000004
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,03mjkf,3,,,3.146765666666667
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,03mjkf,3,,,0.3536335
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,03mjkf,3,,,4.366412833333333
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,03mjkf,4,,,2.214639833333333
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,03mjkf,4,,,2.4564876666666664
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,03mjkf,4,,,1.853918
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,03mjkf,4,,,2.4252861666666665
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,03mjkf,4,,,1.1185086666666668
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,03mjkf,4,,,3.5752771666666665
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,04mkkm,1,,,2.463749
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,04mkkm,1,,,1.5463956666666665
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,04mkkm,1,,,3.711101333333333
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,04mkkm,1,,,1.4325868333333334
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,04mkkm,1,,,6.6042545
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,04mkkm,1,,,4.453574166666667
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,04mkkm,2,,,3.169233666666667
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,04mkkm,2,,,1.234480166666667
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,04mkkm,2,,,1.6215620000000002
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,04mkkm,2,,,1.2380453333333334
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,04mkkm,2,,,4.759650999999999
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,04mkkm,2,,,4.729544833333333
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,04mkkm,3,,,2.612874666666667
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,04mkkm,3,,,1.7659428333333331
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,04mkkm,3,,,2.562835666666667
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,04mkkm,3,,,3.109827166666667
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,04mkkm,3,,,5.064540833333333
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,04mkkm,3,,,5.136072
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,04mkkm,4,,,1.247206
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,04mkkm,4,,,-0.2637625
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,04mkkm,4,,,1.1062336666666666
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,04mkkm,4,,,0.5219398333333334
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,04mkkm,4,,,3.3599366666666666
Z5,evokedZ,word_set,verb_X,PR,R,P,0.19,bva,pos,bund1,04mkkm,4,,,3.576579166666667
Z5,evokedZ,word_set,verb_X,FL,L,F,0.19,bva,pos,bund1,05jwxf,1,,,2.708257666666667
Z5,evokedZ,word_set,verb_X,FR,R,F,0.19,bva,pos,bund1,05jwxf,1,,,2.038809666666667
Z5,evokedZ,word_set,verb_X,CL,L,C,0.19,bva,pos,bund1,05jwxf,1,,,3.2856011666666665
Z5,evokedZ,word_set,verb_X,CR,R,C,0.19,bva,pos,bund1,05jwxf,1,,,2.449828833333333
Z5,evokedZ,word_set,verb_X,PL,L,P,0.19,bva,pos,bund1,05jwxf,1,,,3.076040833333334
